fecha,registros,insertado,actualizado,upserted_id,ruta_curvas_solares,ruta_calidad_meteorologia
2023-02-14,1440,False,True,,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-14_solar_curves.png,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-14_quality_weather.png
2023-02-15,1440,False,True,,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-15_solar_curves.png,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-15_quality_weather.png
2023-02-16,1440,False,True,,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-16_solar_curves.png,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-16_quality_weather.png
2023-02-17,1440,False,True,,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-17_solar_curves.png,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-17_quality_weather.png
2023-02-18,1440,False,True,,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-18_solar_curves.png,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-18_quality_weather.png
2023-02-19,1440,False,True,,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-19_solar_curves.png,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-19_quality_weather.png
2023-02-20,1440,False,True,,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-20_solar_curves.png,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-20_quality_weather.png
2023-02-21,1440,False,True,,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-21_solar_curves.png,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-21_quality_weather.png
2023-02-22,1440,False,True,,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-22_solar_curves.png,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-22_quality_weather.png
2023-02-23,1440,False,True,,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-23_solar_curves.png,c:/Users/zacar/Desktop/Master IEBS DS & Big Data/TFM_IEBS/outputs/daily_plots/2023-02-23_quality_weather.png
